exercise,selected_model,numeric_features,val_accuracy,val_balanced_accuracy,val_f1_good,test_accuracy,test_balanced_accuracy,test_f1_good
squat,forest_depth3_leaf2,222,0.5833333333333334,0.5833333333333333,0.6153846153846154,0.7916666666666666,0.7916666666666666,0.8148148148148148
push_up,logistic_C0.3,222,0.625,0.625,0.6666666666666666,0.625,0.625,0.6896551724137931
bicep_curl,forest_depth5_leaf4,222,0.7916666666666666,0.7916666666666667,0.782608695652174,0.5833333333333334,0.5833333333333334,0.5
